"","thres_total","YEAR","PERC_CHANGE","RES"
"1",86.9791666666667,1999,29.8719025716888,"Y"
"2",60.625,2000,94.7927239438716,"Y"
"3",38.6426592797784,2006,46.3139167955473,"Y"
"4",51.1603375527426,2007,30.3622082976657,"Y"
"5",70.6484641638225,2008,34.0450075785491,"Y"
"6",48.2587064676617,2009,45.2416575578868,"Y"
"7",39.0438247011952,2010,108.873302428033,"Y"
"8",48.4444444444444,2011,102.360414492672,"Y"
"9",65.3958944281525,2012,-1.58586047459219,"Y"
"10",54.3478260869565,2017,30.4771275249171,"Y"
"11",18.1818181818182,2021,1.68152222406712,"Y"
