"","year","total_mature","Barren","Eyed","Hatching","thres_total","Uneyed"
"1",1999,384,38.5416666666667,48.4375,0,86.9791666666667,13.0208333333333
"2",2000,320,21.5625,39.0625,0,60.625,39.375
"3",2001,606,0.66006600660066,0,0,0.66006600660066,99.3399339933993
"4",2002,578,8.65051903114187,0.69204152249135,0,9.34256055363322,90.6574394463668
"5",2003,860,0.581395348837209,0.232558139534884,0,0.813953488372093,99.1860465116279
"6",2004,1083,2.49307479224377,0.831024930747922,0,3.32409972299169,96.7682363804247
"7",2005,1106,0.723327305605787,0.27124773960217,0,0.994575045207957,99.005424954792
"8",2006,722,35.8725761772853,2.77008310249307,0,38.6426592797784,61.3573407202216
"9",2007,948,32.3839662447257,18.7763713080169,0,51.1603375527426,48.8396624472574
"10",2008,879,41.1831626848692,29.4653014789534,0,70.6484641638225,29.3515358361775
"11",2009,804,22.5124378109453,25.7462686567164,0,48.2587064676617,51.7412935323383
"12",2010,502,37.2509960159363,1.79282868525896,0,39.0438247011952,60.9561752988048
"13",2011,450,45.5555555555556,2.88888888888889,0,48.4444444444444,51.5555555555556
"14",2012,682,34.0175953079179,31.3782991202346,0,65.3958944281525,34.6041055718475
"15",2013,518,13.1274131274131,1.54440154440154,0,14.6718146718147,85.3281853281853
"16",2014,1168,0,0,0,0,100
"17",2015,607,0.329489291598023,0,0,0.329489291598023,99.670510708402
"18",2016,767,0.391134289439374,0,0,0.391134289439374,99.6088657105606
"19",2017,460,40.8695652173913,6.73913043478261,6.73913043478261,54.3478260869565,45.6521739130435
"20",2018,308,3.8961038961039,0,0,3.8961038961039,96.1038961038961
"21",2019,274,1.45985401459854,0,0,1.45985401459854,98.5401459854015
"22",2021,209,16.2679425837321,0.956937799043062,0.956937799043062,18.1818181818182,81.8181818181818
